"division","gender","belt","weight","fight","day","date","time","winner_idx","comp01_n","ID_1","comp01_name","comp01_club","comp01_dq","comp01_won","comp02_n","ID_2","comp02_name","comp02_club","comp02_dq","comp02_won"
"Master 1","Male","BLUE","Rooster","FIGHT 30","Sat","09/03","01:04 PM",1,"1",1,"Anthony Garcia","American Top Team",0,1,"8",1,"Jonathan Ti Shih Yeung","Evolve MMA",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 41","Sat","09/03","02:33 PM",1,"3",2,"Tony Thai Nguyen","CheckMat",0,1,"1",2,"Anthony Garcia","American Top Team",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 32","Sat","09/03","01:16 PM",2,"2",3,"Daniel Armando Avilez","Absolute Behring",0,0,"7",3,"Philip Paul Johns Jr","Form Jiu Jitsu Academy",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 35","Sat","09/03","01:54 PM",2,"4",4,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,0,"1",4,"Anthony Garcia","American Top Team",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 38","Sat","09/03","02:10 PM",1,"3",5,"Tony Thai Nguyen","CheckMat",0,1,"7",5,"Philip Paul Johns Jr","Form Jiu Jitsu Academy",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 31","Sat","09/03","01:10 PM",1,"4",6,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,1,"6",6,"Wesley Allen Morris","Roberto Traven BJJ",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 34","Sat","09/03","01:37 PM",1,"3",7,"Tony Thai Nguyen","CheckMat",0,1,"5",7,"Daryl Charles Ayson Santos","Yemaso Brazilian Jiu-Jitsu",0,0
"Master 1","Male","PURPLE","Rooster","FIGHT 26","Fri","09/02","12:44 PM",1,"8",8,"Francisco J ORyan Lesser","Cohab Chile",0,1,"9",8,"Bryan Nguyen","Logic",1,0
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"2",9,"Lio Alexander Duarte","Brazilian Top Team",0,1,"BYE",9,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 30","Fri","09/02","01:22 PM",2,"1",10,"Mark Luebking","CheckMat",1,0,"8",10,"Francisco J ORyan Lesser","Cohab Chile",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 35","Fri","09/02","02:01 PM",2,"2",11,"Lio Alexander Duarte","Brazilian Top Team",0,0,"6",11,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 27","Fri","09/02","12:59 PM",2,"7",12,"Lucas John Wagner","Alliance ",1,0,"2",12,"Lio Alexander Duarte","Brazilian Top Team",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"1",13,"Mark Luebking","CheckMat",0,1,"BYE",13,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"7",14,"Lucas John Wagner","Alliance ",0,1,"BYE",14,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 31","Fri","09/02","01:32 PM",1,"6",15,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1,"8",15,"Francisco J ORyan Lesser","Cohab Chile",0,0
"Master 1","Male","PURPLE","Rooster","FIGHT 28","Fri","09/02","01:02 PM",2,"3",16,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",0,0,"2",16,"Lio Alexander Duarte","Brazilian Top Team",0,1
