"division","gender","belt","weight","rank","Name","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class."
"Master 1","Male","BLUE","Rooster",1,"Anthony Garcia","American Top Team",31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",2,"Daniel Armando Avilez","Absolute Behring",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",3,"Tony Thai Nguyen","CheckMat",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",4,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",5,"Daryl Charles Ayson Santos","Yemaso Brazilian Jiu-Jitsu",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",6,"Wesley Allen Morris","Roberto Traven BJJ",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",7,"Philip Paul Johns Jr","Form Jiu Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",8,"Jonathan Ti Shih Yeung","Evolve MMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",1,"Mark Luebking","CheckMat",108,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",2,"Lio Alexander Duarte","Brazilian Top Team",36,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",3,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",4,"Luis Alberto Ogaz Varela","Soul Fighters BJJ",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",5,"George Christopher A Baron","Aloisio Silva BJJ",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",6,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",7,"Lucas John Wagner","Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",8,"Francisco J O Ryan Lesser","Cohab Chile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",9,"Bryan Nguyen","Logic",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",1,"Kryz Patricio Navarro","Renzo Gracie Academy",297,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",2,"Luis Angel G Rosito","Alliance",108,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",3,"Alejandro Colin","Alliance International",21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",4,"Dylan Taylor Nguyen","Six Blades Jiu-Jitsu",12,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",5,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu",4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",6,"Jeison Camilo Mora Pineda","CheckMat",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",7,"Brett Matthew Kostern","Alliance",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
