"division","gender","belt","weight","place","Name","winnerGym"
"Master 1","Male","BLUE","Rooster",1,"Tony Thai Nguyen","CheckMat"
"Master 1","Male","BLUE","Rooster",2,"Anthony Garcia","American Top Team"
"Master 1","Male","BLUE","Rooster",3,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu"
"Master 1","Male","BLUE","Rooster",3,"Philip Paul Johns Jr","Form Jiu Jitsu Academy"
"Master 1","Male","BLUE","Light Feather",1,"Johnnie Hai Nguyen","CheckMat"
"Master 1","Male","BLUE","Light Feather",2,"Zulkainar Shaibek Uulu","CheckMat"
"Master 1","Male","BLUE","Light Feather",3,"Douglas Richard Cass","Jiu-Jitsu For Life Team"
"Master 1","Male","BLUE","Light Feather",3,"Ricardo A Calamari","Roberto Traven BJJ"
"Master 1","Male","BLUE","Feather",1,"Rodrigo Rodrigues Rondelli","Fabin Rosa Brazilian Jiu-Jitsu"
"Master 1","Male","BLUE","Feather",2,"Alexander Vu Dao","Unity Jiu-jitsu"
"Master 1","Male","BLUE","Feather",3,"Jarett Colin Conner","Barum Jiu-Jitsu"
"Master 1","Male","BLUE","Feather",3,"Nuri Cimen","Cicero Costha Internacional"
"Master 1","Male","BLUE","Light",1,"Craig Thomas Richman","Kiko France BJJ"
"Master 1","Male","BLUE","Light",2,"Nemezio O Lopezperez","Legion American Jiu-Jitsu"
"Master 1","Male","BLUE","Light",3,"Yuta Asano Tamura","Alliance"
"Master 1","Male","BLUE","Light",3,"Michael Anthony Tai","Unity Jiu-jitsu"
"Master 1","Male","BLUE","Middle",1,"Thomas Glen Hubbard","Atos Jiu-Jitsu"
"Master 1","Male","BLUE","Middle",2,"Ryan Thomas Wight","Haven Jiu-Jitsu"
"Master 1","Male","BLUE","Middle",3,"Paul Anthony Luna","Alliance"
"Master 1","Male","BLUE","Middle",3,"Evohn Michael Lorring","Alliance"
"Master 1","Male","BLUE","Medium Heavy",1,"Han Byol Kim","TAC Team BJJ"
"Master 1","Male","BLUE","Medium Heavy",2,"Shane Sweeney","Pedigo Submission Fighting"
"Master 1","Male","BLUE","Medium Heavy",3,"Ethan Michael Seay","Gracie Barra BJJ"
"Master 1","Male","BLUE","Medium Heavy",3,"Matthew Richard Cole","Alliance"
"Master 1","Male","BLUE","Heavy",1,"Matthew David Weigand","CheckMat"
"Master 1","Male","BLUE","Heavy",2,"Nicholas Thomas Evangelos Niforos","Six Blades Jiu-Jitsu"
"Master 1","Male","BLUE","Heavy",3,"Charles Irvin Edwards","GF Team"
"Master 1","Male","BLUE","Heavy",3,"Wesley Eugene Richardson","Gracie Barra"
"Master 1","Male","BLUE","Super Heavy",1,"Pierce Howell","Gracie Barra"
"Master 1","Male","BLUE","Super Heavy",2,"Kevyn Corbin Meredith","CheckMat"
"Master 1","Male","BLUE","Super Heavy",3,"Abner Jahdiel Roman","Roberto Traven BJJ"
"Master 1","Male","BLUE","Super Heavy",3,"Matthew M Shango","Cascao Jiu-Jitsu"
"Master 1","Male","BLUE","Ultra Heavy",1,"Blayne Thomas S B McDonald","Carlson Gracie Team"
"Master 1","Male","BLUE","Ultra Heavy",2,"Arash Romeo V Soofiani","Six Blades Jiu-Jitsu"
"Master 1","Male","BLUE","Ultra Heavy",3,"Conrod Karl Jackson","Toronto Top Team"
"Master 1","Male","BLUE","Ultra Heavy",3,"Jason Andrew Neill","Ohana Jiu-Jitsu Academy"
"Master 1","Male","BLUE","Open Class",1,"Arash Romeo V Soofiani","Six Blades Jiu-Jitsu"
"Master 1","Male","BLUE","Open Class",2,"Conrod Karl Jackson","Toronto Top Team"
"Master 1","Male","BLUE","Open Class",3,"Shane Sweeney","Pedigo Submission Fighting"
"Master 1","Male","BLUE","Open Class",3,"Kevyn Corbin Meredith","CheckMat"
"Master 1","Male","PURPLE","Rooster",1,"Omar Eduardo Alfaro Solis","LEAD BJJ"
"Master 1","Male","PURPLE","Rooster",2,"Lio Alexander Duarte","Brazilian Top Team"
"Master 1","Male","PURPLE","Rooster",3,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu"
"Master 1","Male","PURPLE","Rooster",3,"Francisco J ORyan Lesser","Cohab Chile"
"Master 1","Male","PURPLE","Light Feather",1,"Amon Jarret Dessources","Atliens Odyssey"
"Master 1","Male","PURPLE","Light Feather",2,"Eneko Aburruza","Studio NW2 - BJJ"
"Master 1","Male","PURPLE","Light Feather",3,"Bryan Keith Williamson II","CheckMat"
"Master 1","Male","PURPLE","Light Feather",3,"Kenneth Todd Clatterbuck","Ares BJJ"
"Master 1","Male","PURPLE","Feather",1,"Icaro Guimarães","Atos JJ USA"
"Master 1","Male","PURPLE","Feather",2,"Guillaume Prada","Barbosa Jiu-Jitsu Paris"
"Master 1","Male","PURPLE","Feather",3,"Aren Simon Besson","G13 BJJ USA"
"Master 1","Male","PURPLE","Feather",3,"Tomás Andrés Baeza Macias","Cohab Chile"
"Master 1","Male","PURPLE","Light",1,"Suleyman Samet Göktopal","GMAC"
"Master 1","Male","PURPLE","Light",2,"Jorge Moreno Olivas","Renzo Gracie Mexico"
"Master 1","Male","PURPLE","Light",3,"Derek Tefft Linares","Six Blades Jiu-Jitsu"
"Master 1","Male","PURPLE","Light",3,"Julian Malcolm McDuffie","Renzo Gracie LA"
"Master 1","Male","PURPLE","Middle",1,"Marcelo Garcia Contini","Ryan Gracie Team"
"Master 1","Male","PURPLE","Middle",2,"Jacob C Schwebke","TAC Team BJJ"
"Master 1","Male","PURPLE","Middle",3,"Codye Ryan Landry","Double Five"
"Master 1","Male","PURPLE","Middle",3,"Jorge Antonio Galvan","Flux MMA"
"Master 1","Male","PURPLE","Medium Heavy",1,"Erick Gomez","Behring Last Stand"
"Master 1","Male","PURPLE","Medium Heavy",2,"Dcoridrion Dontrae Hicks","GF Team"
"Master 1","Male","PURPLE","Medium Heavy",3,"Daniel Uchenna Chionuma","Super System BJJ"
"Master 1","Male","PURPLE","Medium Heavy",3,"Robert D Clark","Paragon BJJ Academy"
"Master 1","Male","PURPLE","Heavy",1,"Justin C High","717 BJJ"
"Master 1","Male","PURPLE","Heavy",2,"Kyle Garrett Jackson","Outsiders Jiu-Jitsu"
"Master 1","Male","PURPLE","Heavy",3,"Chris Triantopoulos","Immersion Mixed Martial Arts"
"Master 1","Male","PURPLE","Heavy",3,"Wesley Clayton Cooper","Siri Brazilian Jiu-Jitsu"
"Master 1","Male","PURPLE","Super Heavy",1,"John Karl Eugene Reed","Alliance"
"Master 1","Male","PURPLE","Super Heavy",2,"Collin R Wiemer","Princeton Brazilian Jiu-Jitsu"
"Master 1","Male","PURPLE","Super Heavy",3,"Brian William Evans","TDBJJ"
"Master 1","Male","PURPLE","Super Heavy",3,"Jordan Monte Krich","CheckMat"
"Master 1","Male","PURPLE","Ultra Heavy",1,"Timothy Peter Delmundo","Carlson Gracie"
"Master 1","Male","PURPLE","Ultra Heavy",2,"Viktor Vaughn","Fargo BJJ"
"Master 1","Male","PURPLE","Ultra Heavy",3,"Richard Marion Hunt","Travis Lutter Brazilian Jiu-Jitsu"
"Master 1","Male","PURPLE","Ultra Heavy",3,"Wellington Renato Vieira Bellíssimo","Atos Jiu-Jitsu"
"Master 1","Male","PURPLE","Open Class",1,"John Karl Eugene Reed","Alliance"
"Master 1","Male","PURPLE","Open Class",2,"Brian William Evans","TDBJJ"
"Master 1","Male","PURPLE","Open Class",3,"Jorge Moreno Olivas","Renzo Gracie Mexico"
"Master 1","Male","PURPLE","Open Class",3,"Marcelo Garcia Contini","Ryan Gracie Team"
"Master 1","Male","BROWN","Rooster",1,"Brett Matthew Kostern","Alliance"
"Master 1","Male","BROWN","Rooster",2,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu"
"Master 1","Male","BROWN","Rooster",3,"Luis Angel G Rosito","Alliance"
"Master 1","Male","BROWN","Rooster",3,"Jeison Camilo  Mora Pineda","CheckMat"
"Master 1","Male","BROWN","Light Feather",1,"Samuel Alejandr Franchi","Atos Jiu-Jitsu"
"Master 1","Male","BROWN","Light Feather",2,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA"
"Master 1","Male","BROWN","Light Feather",3,"Maui H T Lacaze","Mako Team Paris"
"Master 1","Male","BROWN","Light Feather",3,"Claudio Javier Candia Vicencio","CheckMat"
"Master 1","Male","BROWN","Feather",1,"Zachary Ryan Levitetz","Winners Training Center"
"Master 1","Male","BROWN","Feather",2,"Jason Arreola","One Jiu-Jitsu USA"
"Master 1","Male","BROWN","Feather",3,"Roothchild St Germain","Cicero Costha Internacional"
"Master 1","Male","BROWN","Feather",3,"Benjamin P Dall","TAC Team BJJ"
"Master 1","Male","BROWN","Light",1,"Aaron Devlin","ACTJJ International"
"Master 1","Male","BROWN","Light",2,"Christian Sabas Gonzalez","Patrick Almeida Jiu-Jitsu"
"Master 1","Male","BROWN","Light",3,"Felipe Augusto C Pereira da Silva","Carlson Gracie Team"
"Master 1","Male","BROWN","Light",3,"Paulo Henrique G Rodrigues","Alliance"
"Master 1","Male","BROWN","Middle",1,"Shawn Ryan Gantz","Rodrigo Pinheiro BJJ"
"Master 1","Male","BROWN","Middle",2,"Franklin J Ramsey","Double Five"
"Master 1","Male","BROWN","Middle",3,"Leon Schulz","GF Team"
"Master 1","Male","BROWN","Middle",3,"Jackpaul Singh","McVicker's Brazilian Jiu Jitsu"
"Master 1","Male","BROWN","Medium Heavy",1,"Byung Ju Lee","Team Lloyd Irvin"
"Master 1","Male","BROWN","Medium Heavy",2,"Devon Rodney Frank Tordoff","Carlson Gracie Team"
"Master 1","Male","BROWN","Medium Heavy",3,"Richard L Timney","Ares BJJ"
"Master 1","Male","BROWN","Medium Heavy",3,"Daniel Paul Schnitzler","CheckMat"
"Master 1","Male","BROWN","Heavy",1,"Tristan Parker","Alliance"
"Master 1","Male","BROWN","Heavy",2,"Emad K I Alsumait","Kuwait Jiu-Jitsu Academy"
"Master 1","Male","BROWN","Heavy",3,"Phillip Raymond Thomas","Atos Jiu-Jitsu"
"Master 1","Male","BROWN","Heavy",3,"David Ray Cox","Massachusetts Brazilian Jiu Jitsu"
"Master 1","Male","BROWN","Super Heavy",1,"Derek Andrew Brown","CheckMat"
"Master 1","Male","BROWN","Super Heavy",2,"Flavio Henrique Candido Lara","Nova União"
"Master 1","Male","BROWN","Super Heavy",3,"Darren D Kriener","TAC Team BJJ"
"Master 1","Male","BROWN","Super Heavy",3,"Adilio Correia","Cicero Costha Internacional"
"Master 1","Male","BROWN","Ultra Heavy",1,"Jean Montelus","American Top Team"
"Master 1","Male","BROWN","Ultra Heavy",2,"Javier Zaruski Saul","Atos Jiu-Jitsu"
"Master 1","Male","BROWN","Ultra Heavy",3,"William Maxwell Doucet","Gracie Barra"
"Master 1","Male","BROWN","Ultra Heavy",3,"Jaime Thomas Faneata Hatch","CheckMat"
"Master 1","Male","BROWN","Open Class",1,"Javier Zaruski Saul","Atos Jiu-Jitsu"
"Master 1","Male","BROWN","Open Class",2,"Tristan Parker","Alliance"
"Master 1","Male","BROWN","Open Class",3,"Richard L Timney","Ares BJJ"
"Master 1","Male","BROWN","Open Class",3,"Darren D Kriener","TAC Team BJJ"
"Master 1","Male","BLACK","Rooster",1,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu"
"Master 1","Male","BLACK","Rooster",2,"Eduardo Barboza da Silva","GF Team"
"Master 1","Male","BLACK","Rooster",3,"Washington Luis do M Lima","GF Team"
"Master 1","Male","BLACK","Rooster",3,"Zachary Taylor Thompson","Ares BJJ"
"Master 1","Male","BLACK","Light Feather",1,"João Ricardo Bordignon Miyao","Cicero Costha Internacional"
"Master 1","Male","BLACK","Light Feather",2,"Jeanmarc De Groot","Bibiano Fernandes BJJ"
"Master 1","Male","BLACK","Light Feather",3,"Guilherme Angelus M de Carvalho","Elvys / Osvaldo Alves - AM"
"Master 1","Male","BLACK","Light Feather",3,"Santiago Pereyra Furlong","Lotus Club USA"
"Master 1","Male","BLACK","Feather",1,"Felipe Linhares Arruda","Alliance"
"Master 1","Male","BLACK","Feather",2,"Silvio Duran de Barros Saraiva","Nova União"
"Master 1","Male","BLACK","Feather",3,"Mayko de Araujo Girotto Borges","CheckMat"
"Master 1","Male","BLACK","Feather",3,"Esdras Félix Bezerra Júnior","Ares BJJ"
"Master 1","Male","BLACK","Light",1,"Pedro Fernandes Farias","Checkmat New York City"
"Master 1","Male","BLACK","Light",2,"Lucas de Araujo Gomes","Alliance"
"Master 1","Male","BLACK","Light",3,"Christopher William Hargett","Six Blades Jiu-Jitsu"
"Master 1","Male","BLACK","Light",3,"Joshua Michael Murdock","Pedigo Submission Fighting"
"Master 1","Male","BLACK","Middle",1,"Jaime Soares Canuto","GF Team"
"Master 1","Male","BLACK","Middle",2,"Jhonny Loureiro Sigallis Souza","Alliance"
"Master 1","Male","BLACK","Middle",3,"Thiago Rodrigues Lemos","CheckMat"
"Master 1","Male","BLACK","Middle",3,"Lee Sanghyeon","Ground Core Korea"
"Master 1","Male","BLACK","Medium Heavy",1,"Sergio Raimundo Rios da Silva","Brasa"
"Master 1","Male","BLACK","Medium Heavy",2,"Gabriel Procópio da Fonseca","Brazilian Top Team"
"Master 1","Male","BLACK","Medium Heavy",3,"Fausto Nahuel Godoy","Cicero Costha Internacional"
"Master 1","Male","BLACK","Medium Heavy",3,"Fábio Angnes Alano","Alliance"
"Master 1","Male","BLACK","Heavy",1,"Gabriel Salles Muniz Almeida","CheckMat"
"Master 1","Male","BLACK","Heavy",2,"Frederico Pinto Cesar de Almeida","Otávio de Almeida"
"Master 1","Male","BLACK","Heavy",3,"Jose Joaquin Valenzuela Torres","Fight Sports"
